neigh_num,name,area_sqkm,lat,long,loc
5511,Twin Brooks,2.13735731913691,53.444689,-113.531497,"(53.444688598308645, -113.53149747692723)"
4014,Anthony Henday South,2.711569116158596,53.432209,-113.547667,"(53.432208842560044, -113.54766657090303)"
3382,River Valley Laurier,1.243483643862019,53.510583,-113.553323,"(53.51058347704698, -113.55332311351657)"
5453,Blackmud Creek,0.780653205105681,53.419661,-113.510788,"(53.41966051953902, -113.5107878288002)"
6090,Coronet Addition Industrial,0.433152471465005,53.502729,-113.451653,"(53.50272856255465, -113.45165300024107)"
2630,River Valley Hermitage,2.181542257732612,53.591428,-113.408502,"(53.59142827242462, -113.40850195177259)"
1120,Edmonton Northlands,0.752914569505616,53.568372,-113.456446,"(53.56837201395926, -113.45644615264902)"
6070,Cloverdale,1.091063526199049,53.536858,-113.474012,"(53.53685804859474, -113.47401190528413)"
5580,Windsor Park,0.758013800379479,53.524078,-113.536862,"(53.52407815931965, -113.53686248383696)"
5300,Ogilvie Ridge,0.523553932779361,53.464904,-113.567069,"(53.46490391634022, -113.5670692791426)"
5350,Rhatigan Ridge,1.344077714160235,53.474506,-113.587569,"(53.474506145469945, -113.5875691214093)"
3220,Hagmann Estate Industrial,0.527769816914026,53.582176,-113.544951,"(53.58217611124326, -113.54495066304352)"
3380,River Valley Capitol Hill,1.687583468179096,53.531886,-113.559886,"(53.53188605972356, -113.5598856735013)"
4440,River Valley Lessard North,0.794200271086732,53.504195,-113.584827,"(53.504195315820766, -113.58482691728696)"
5401,River Valley Fort Edmonton,0.990623443487292,53.500911,-113.581031,"(53.50091068696626, -113.58103079344446)"
5380,River Valley Terwillegar,3.077820277027079,53.476838,-113.612570,"(53.47683790531988, -113.61256968358418)"
2030,Bannerman,0.73309419169368,53.603950,-113.378624,"(53.60394967909537, -113.37862372109305)"
2311,Gorman,2.909785033138122,53.623224,-113.387721,"(53.623224243895535, -113.38772133661362)"
1190,River Valley Kinnaird,0.855766647996848,53.554249,-113.469524,"(53.55424923247722, -113.46952354863328)"
5390,River Valley Walterdale,1.487445056891376,53.530575,-113.519754,"(53.53057521763347, -113.51975396063287)"
5630,Leger,1.056882663675697,53.457691,-113.577422,"(53.45769067936082, -113.57742198467011)"
1270,Yellowhead Corridor East,1.430512618218559,53.579205,-113.451964,"(53.57920536701183, -113.45196418416933)"
5405,River Valley Windermere,2.829676935840483,53.436399,-113.636544,"(53.43639892399417, -113.63654392455123)"
2640,River Valley Highlands,1.188119616139582,53.560070,-113.436175,"(53.56006960860826, -113.43617529691483)"
2360,Industrial Heights,0.743856487621886,53.580983,-113.437473,"(53.580982530949015, -113.43747298213346)"
5190,Falconer Heights,0.650281690694583,53.466721,-113.588524,"(53.46672055034112, -113.58852369853099)"
4030,Armstrong Industrial,1.113634701726025,53.565863,-113.621263,"(53.56586317158347, -113.62126319859507)"
5490,Sweet Grass,0.917072493710116,53.464316,-113.527569,"(53.46431590241292, -113.52756884463375)"
5100,Bulyea Heights,1.481003082435318,53.474747,-113.569424,"(53.474747116876706, -113.56942401003866)"
6020,Avonmore,0.897089826005834,53.507780,-113.451631,"(53.50777958168241, -113.45163097839595)"
5560,Whitemud Creek Ravine South,2.24996752858127,53.468499,-113.560341,"(53.46849885499151, -113.56034051442934)"
6690,Southeast Industrial,6.999970559935322,53.499715,-113.374605,"(53.499714584050444, -113.37460526527782)"
2070,Belmont,1.263277424596624,53.593124,-113.394379,"(53.59312408353891, -113.39437923899207)"
5610,Haddow,1.27721756982748,53.454750,-113.596489,"(53.45474982252182, -113.5964887827713)"
2120,Canon Ridge,0.652771301774415,53.578789,-113.379217,"(53.5787889552599, -113.37921650395407)"
6492,Mill Creek Ravine South,0.758605203922645,53.507712,-113.464836,"(53.50771159416601, -113.46483608342514)"
4013,Anthony Henday Terwillegar,3.150936368820663,53.443778,-113.598090,"(53.44377819590031, -113.59809038660211)"
5130,Carter Crest,0.666752725882428,53.464885,-113.577802,"(53.46488524760014, -113.57780187666452)"
4110,Dechene,0.724246519948172,53.490436,-113.635953,"(53.49043609353744, -113.63595305062353)"
5565,Whitemud Creek Ravine Twin Brooks,1.638861491043319,53.442815,-113.544690,"(53.442814900952555, -113.54468951256436)"
2251,Ebbers,0.612057363413617,53.611425,-113.401029,"(53.61142477776731, -113.40102937479136)"
1090,Downtown,2.316813789806008,53.539767,-113.499421,"(53.5397665935903, -113.4994206958886)"
1020,Boyle Street,0.881352147515479,53.547631,-113.479263,"(53.54763098241901, -113.47926288099585)"
6160,Davies Industrial East,1.634040105656883,53.506189,-113.433139,"(53.50618932074611, -113.43313909673333)"
6010,Argyll,0.359056055956395,53.503101,-113.460539,"(53.50310077509508, -113.46053882427935)"
4471,Trumpeter Area,2.41191440985778,53.590903,-113.676605,"(53.590903244040156, -113.67660454691728)"
4012,Anthony Henday South West,4.547851853803071,53.464532,-113.637545,"(53.464531808398306, -113.63754527999589)"
5220,Greenfield,1.529887225660543,53.471073,-113.527505,"(53.47107265307113, -113.52750541701816)"
3350,Prince Charles,0.79011537571903,53.575635,-113.536002,"(53.575635452188386, -113.53600199079429)"
